127.0.0.1 - - [25/Sep/2021:15:05:32 -0300] "GET / HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [25/Sep/2021:15:05:33 -0300] "GET /ProjetoTrilhaWeb/ HTTP/1.1" 200 1566
0:0:0:0:0:0:0:1 - - [25/Sep/2021:15:05:33 -0300] "GET /ProjetoTrilhaWeb/css/site.css HTTP/1.1" 200 2740
0:0:0:0:0:0:0:1 - - [25/Sep/2021:15:05:33 -0300] "GET /ProjetoTrilhaWeb/imgs/geladeira1.png HTTP/1.1" 200 21470
0:0:0:0:0:0:0:1 - - [25/Sep/2021:15:05:33 -0300] "GET /ProjetoTrilhaWeb/imgs/geladeira2.png HTTP/1.1" 200 19124
0:0:0:0:0:0:0:1 - - [25/Sep/2021:15:05:33 -0300] "GET /ProjetoTrilhaWeb/js/site.js HTTP/1.1" 200 5378
0:0:0:0:0:0:0:1 - - [25/Sep/2021:15:05:34 -0300] "GET /ProjetoTrilhaWeb/pages/site/general/cabecalho.html HTTP/1.1" 200 108
0:0:0:0:0:0:0:1 - - [25/Sep/2021:15:05:34 -0300] "GET /ProjetoTrilhaWeb/pages/site/general/menu.html HTTP/1.1" 200 274
0:0:0:0:0:0:0:1 - - [25/Sep/2021:15:05:34 -0300] "GET /ProjetoTrilhaWeb/imgs/logo.png HTTP/1.1" 200 114352
0:0:0:0:0:0:0:1 - - [25/Sep/2021:15:05:34 -0300] "GET /ProjetoTrilhaWeb/pages/site/general/rodape.html HTTP/1.1" 200 39
0:0:0:0:0:0:0:1 - - [25/Sep/2021:15:05:55 -0300] "GET /ProjetoTrilhaWeb/ HTTP/1.1" 200 1566
0:0:0:0:0:0:0:1 - - [25/Sep/2021:15:05:55 -0300] "GET /ProjetoTrilhaWeb/js/site.js HTTP/1.1" 200 5378
0:0:0:0:0:0:0:1 - - [25/Sep/2021:15:05:55 -0300] "GET /ProjetoTrilhaWeb/css/site.css HTTP/1.1" 200 2740
0:0:0:0:0:0:0:1 - - [25/Sep/2021:15:05:55 -0300] "GET /ProjetoTrilhaWeb/imgs/geladeira1.png HTTP/1.1" 200 21470
0:0:0:0:0:0:0:1 - - [25/Sep/2021:15:05:55 -0300] "GET /ProjetoTrilhaWeb/imgs/geladeira2.png HTTP/1.1" 200 19124
0:0:0:0:0:0:0:1 - - [25/Sep/2021:15:05:56 -0300] "GET /ProjetoTrilhaWeb/pages/site/general/cabecalho.html HTTP/1.1" 200 108
0:0:0:0:0:0:0:1 - - [25/Sep/2021:15:05:56 -0300] "GET /ProjetoTrilhaWeb/pages/site/general/menu.html HTTP/1.1" 200 274
0:0:0:0:0:0:0:1 - - [25/Sep/2021:15:05:56 -0300] "GET /ProjetoTrilhaWeb/pages/site/general/rodape.html HTTP/1.1" 200 39
0:0:0:0:0:0:0:1 - - [25/Sep/2021:15:05:56 -0300] "GET /favicon.ico HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [25/Sep/2021:15:05:56 -0300] "GET /ProjetoTrilhaWeb/imgs/logo.png HTTP/1.1" 200 114352
0:0:0:0:0:0:0:1 - - [25/Sep/2021:15:06:04 -0300] "GET /ProjetoTrilhaWeb/pages/admin/ HTTP/1.1" 200 1007
0:0:0:0:0:0:0:1 - - [25/Sep/2021:15:06:04 -0300] "GET /ProjetoTrilhaWeb/js/jquery-ui.js HTTP/1.1" 200 520714
0:0:0:0:0:0:0:1 - - [25/Sep/2021:15:06:04 -0300] "GET /ProjetoTrilhaWeb/css/admin.css HTTP/1.1" 200 4217
0:0:0:0:0:0:0:1 - - [25/Sep/2021:15:06:04 -0300] "GET /ProjetoTrilhaWeb/css/jquery-ui.css HTTP/1.1" 200 36828
0:0:0:0:0:0:0:1 - - [25/Sep/2021:15:06:04 -0300] "GET /ProjetoTrilhaWeb/js/admin.js HTTP/1.1" 200 1790
0:0:0:0:0:0:0:1 - - [25/Sep/2021:15:06:04 -0300] "GET /ProjetoTrilhaWeb/pages/admin/general/footer.html HTTP/1.1" 200 39
0:0:0:0:0:0:0:1 - - [25/Sep/2021:15:06:04 -0300] "GET /ProjetoTrilhaWeb/pages/admin/general/header.html HTTP/1.1" 200 1008
0:0:0:0:0:0:0:1 - - [25/Sep/2021:15:06:09 -0300] "GET /ProjetoTrilhaWeb/pages/admin/product/ HTTP/1.1" 200 2560
